sepal_length,sepal_width,petal_length,petal_width,species,sepal_area,petal_area,petal_area_ratio,large_sepal_flag,petal_to_sepal_ratio,symmetry_index
5.1,3.5,1.4,0.2,setosa,17.849999999999998,0.27999999999999997,0.01568627450980392,0,0.18604651162790697,0.5692307692307692
4.9,3.0,1.4,0.2,setosa,14.700000000000001,0.27999999999999997,0.019047619047619046,0,0.20253164556962022,0.5555555555555556
4.7,3.2,1.3,0.2,setosa,15.040000000000001,0.26,0.017287234042553192,0,0.18987341772151897,0.5666666666666668
4.6,3.1,1.5,0.2,setosa,14.26,0.30000000000000004,0.02103786816269285,0,0.2207792207792208,0.5081967213114754
5.0,3.6,1.4,0.2,setosa,18.0,0.27999999999999997,0.015555555555555553,0,0.18604651162790697,0.5625
5.4,3.9,1.7,0.4,setosa,21.060000000000002,0.68,0.03228869895536562,0,0.22580645161290322,0.5211267605633803
4.6,3.4,1.4,0.3,setosa,15.639999999999999,0.42,0.026854219948849106,0,0.2125,0.5333333333333333
5.0,3.4,1.5,0.2,setosa,17.0,0.30000000000000004,0.017647058823529415,0,0.20238095238095236,0.5384615384615384
4.4,2.9,1.4,0.2,setosa,12.76,0.27999999999999997,0.021943573667711595,0,0.21917808219178078,0.5172413793103449
4.9,3.1,1.5,0.1,setosa,15.190000000000001,0.15000000000000002,0.009874917709019092,0,0.2,0.53125
5.4,3.7,1.5,0.2,setosa,19.980000000000004,0.30000000000000004,0.015015015015015015,0,0.1868131868131868,0.5652173913043479
4.8,3.4,1.6,0.2,setosa,16.32,0.32000000000000006,0.019607843137254905,0,0.21951219512195125,0.49999999999999994
4.8,3.0,1.4,0.1,setosa,14.399999999999999,0.13999999999999999,0.009722222222222222,0,0.19230769230769232,0.5483870967741936
4.3,3.0,1.1,0.1,setosa,12.899999999999999,0.11000000000000001,0.008527131782945738,0,0.16438356164383564,0.5925925925925926
5.8,4.0,1.2,0.2,setosa,23.2,0.24,0.010344827586206896,0,0.14285714285714285,0.6571428571428571
5.7,4.4,1.5,0.4,setosa,25.080000000000002,0.6000000000000001,0.02392344497607656,0,0.1881188118811881,0.5833333333333334
5.4,3.9,1.3,0.4,setosa,21.060000000000002,0.52,0.024691358024691357,0,0.1827956989247312,0.6119402985074628
5.1,3.5,1.4,0.3,setosa,17.849999999999998,0.42,0.023529411764705885,0,0.19767441860465115,0.5692307692307692
5.7,3.8,1.7,0.3,setosa,21.66,0.51,0.023545706371191136,0,0.21052631578947367,0.5405405405405405
5.1,3.8,1.5,0.3,setosa,19.38,0.44999999999999996,0.023219814241486066,0,0.202247191011236,0.5454545454545454
5.4,3.4,1.7,0.2,setosa,18.36,0.34,0.01851851851851852,0,0.21590909090909088,0.5211267605633803
5.1,3.7,1.5,0.4,setosa,18.87,0.6000000000000001,0.031796502384737683,0,0.21590909090909088,0.5454545454545454
4.6,3.6,1.0,0.2,setosa,16.56,0.2,0.01207729468599034,0,0.14634146341463417,0.6428571428571428
5.1,3.3,1.7,0.5,setosa,16.83,0.85,0.05050505050505051,0,0.261904761904762,0.49999999999999994
4.8,3.4,1.9,0.2,setosa,16.32,0.38,0.023284313725490197,0,0.25609756097560976,0.4328358208955224
5.0,3.0,1.6,0.2,setosa,15.0,0.32000000000000006,0.021333333333333336,0,0.225,0.5151515151515151
5.0,3.4,1.6,0.4,setosa,17.0,0.6400000000000001,0.03764705882352942,0,0.23809523809523808,0.5151515151515151
5.2,3.5,1.5,0.2,setosa,18.2,0.30000000000000004,0.016483516483516487,0,0.19540229885057472,0.5522388059701493
5.2,3.4,1.4,0.2,setosa,17.68,0.27999999999999997,0.01583710407239819,0,0.18604651162790697,0.5757575757575758
4.7,3.2,1.6,0.2,setosa,15.040000000000001,0.32000000000000006,0.021276595744680854,0,0.22784810126582278,0.49206349206349204
4.8,3.1,1.6,0.2,setosa,14.879999999999999,0.32000000000000006,0.021505376344086027,0,0.22784810126582278,0.49999999999999994
5.4,3.4,1.5,0.4,setosa,18.36,0.6000000000000001,0.03267973856209151,0,0.21590909090909088,0.5652173913043479
5.2,4.1,1.5,0.1,setosa,21.32,0.15000000000000002,0.007035647279549719,0,0.17204301075268816,0.5522388059701493
5.5,4.2,1.4,0.2,setosa,23.1,0.27999999999999997,0.01212121212121212,0,0.16494845360824742,0.5942028985507245
4.9,3.1,1.5,0.2,setosa,15.190000000000001,0.30000000000000004,0.019749835418038184,0,0.2125,0.53125
5.0,3.2,1.2,0.2,setosa,16.0,0.24,0.015,0,0.17073170731707318,0.6129032258064515
5.5,3.5,1.3,0.2,setosa,19.25,0.26,0.013506493506493506,0,0.16666666666666666,0.6176470588235294
4.4,3.0,1.3,0.2,setosa,13.200000000000001,0.26,0.019696969696969695,0,0.2027027027027027,0.543859649122807
5.1,3.4,1.5,0.2,setosa,17.34,0.30000000000000004,0.01730103806228374,0,0.19999999999999998,0.5454545454545454
5.0,3.5,1.3,0.3,setosa,17.5,0.39,0.022285714285714287,0,0.18823529411764706,0.5873015873015873
4.5,2.3,1.3,0.3,setosa,10.35,0.39,0.03768115942028986,0,0.23529411764705885,0.5517241379310345
4.4,3.2,1.3,0.2,setosa,14.080000000000002,0.26,0.01846590909090909,0,0.19736842105263155,0.543859649122807
5.0,3.5,1.6,0.6,setosa,17.5,0.96,0.054857142857142854,0,0.25882352941176473,0.5151515151515151
5.1,3.8,1.9,0.4,setosa,19.38,0.76,0.0392156862745098,0,0.25842696629213485,0.45714285714285713
4.8,3.0,1.4,0.3,setosa,14.399999999999999,0.42,0.029166666666666667,0,0.21794871794871795,0.5483870967741936
5.1,3.8,1.6,0.2,setosa,19.38,0.32000000000000006,0.016511867905056765,0,0.202247191011236,0.5223880597014925
4.6,3.2,1.4,0.2,setosa,14.719999999999999,0.27999999999999997,0.019021739130434784,0,0.20512820512820512,0.5333333333333333
5.3,3.7,1.5,0.2,setosa,19.61,0.30000000000000004,0.01529831718510964,0,0.18888888888888888,0.5588235294117647
5.0,3.3,1.4,0.2,setosa,16.5,0.27999999999999997,0.016969696969696968,0,0.19277108433734935,0.5625
7.0,3.2,4.7,1.4,versicolor,22.400000000000002,6.58,0.29374999999999996,1,0.5980392156862745,0.19658119658119658
6.4,3.2,4.5,1.5,versicolor,20.480000000000004,6.75,0.32958984374999994,1,0.6249999999999999,0.17431192660550462
6.9,3.1,4.9,1.5,versicolor,21.39,7.3500000000000005,0.3436185133239832,1,0.64,0.1694915254237288
5.5,2.3,4.0,1.3,versicolor,12.649999999999999,5.2,0.4110671936758894,0,0.6794871794871795,0.15789473684210525
6.5,2.8,4.6,1.5,versicolor,18.2,6.8999999999999995,0.3791208791208791,0,0.6559139784946235,0.1711711711711712
5.7,2.8,4.5,1.3,versicolor,15.959999999999999,5.8500000000000005,0.3665413533834587,0,0.6823529411764706,0.11764705882352944
6.3,3.3,4.7,1.6,versicolor,20.79,7.5200000000000005,0.36171236171236176,1,0.6562500000000001,0.14545454545454542
4.9,2.4,3.3,1.0,versicolor,11.76,3.3,0.28061224489795916,0,0.5890410958904109,0.19512195121951229
6.6,2.9,4.6,1.3,versicolor,19.139999999999997,5.9799999999999995,0.3124346917450366,0,0.6210526315789473,0.17857142857142858
5.2,2.7,3.9,1.4,versicolor,14.040000000000001,5.46,0.38888888888888884,0,0.670886075949367,0.1428571428571429
5.0,2.0,3.5,1.0,versicolor,10.0,3.5,0.35,0,0.6428571428571429,0.17647058823529413
5.9,3.0,4.2,1.5,versicolor,17.700000000000003,6.300000000000001,0.3559322033898305,0,0.6404494382022472,0.1683168316831683
6.0,2.2,4.0,1.0,versicolor,13.200000000000001,4.0,0.303030303030303,0,0.6097560975609757,0.2
6.1,2.9,4.7,1.4,versicolor,17.689999999999998,6.58,0.37196156020350485,0,0.6777777777777777,0.12962962962962957
5.6,2.9,3.6,1.3,versicolor,16.24,4.680000000000001,0.2881773399014779,0,0.5764705882352942,0.21739130434782605
6.7,3.1,4.4,1.4,versicolor,20.77,6.16,0.2965816080885893,1,0.5918367346938775,0.20720720720720717
5.6,3.0,4.5,1.5,versicolor,16.799999999999997,6.75,0.40178571428571436,0,0.6976744186046512,0.10891089108910888
5.8,2.7,4.1,1.0,versicolor,15.66,4.1,0.2618135376756066,0,0.6,0.17171717171717177
6.2,2.2,4.5,1.5,versicolor,13.640000000000002,6.75,0.49486803519061573,0,0.7142857142857143,0.15887850467289721
5.6,2.5,3.9,1.1,versicolor,14.0,4.29,0.30642857142857144,0,0.617283950617284,0.1789473684210526
5.9,3.2,4.8,1.8,versicolor,18.880000000000003,8.64,0.45762711864406774,1,0.7252747252747251,0.10280373831775706
6.1,2.8,4.0,1.3,versicolor,17.08,5.2,0.30444964871194385,0,0.5955056179775282,0.20792079207920788
6.3,2.5,4.9,1.5,versicolor,15.75,7.3500000000000005,0.4666666666666667,0,0.7272727272727273,0.12499999999999996
6.1,2.8,4.7,1.2,versicolor,17.08,5.64,0.3302107728337237,0,0.6629213483146069,0.12962962962962957
6.4,2.9,4.3,1.3,versicolor,18.56,5.59,0.30118534482758624,0,0.6021505376344085,0.1962616822429907
6.6,3.0,4.4,1.4,versicolor,19.799999999999997,6.16,0.31111111111111117,0,0.6041666666666667,0.19999999999999993
6.8,2.8,4.8,1.4,versicolor,19.04,6.72,0.35294117647058826,0,0.6458333333333333,0.1724137931034483
6.7,3.0,5.0,1.7,versicolor,20.1,8.5,0.42288557213930345,0,0.6907216494845362,0.1452991452991453
6.0,2.9,4.5,1.5,versicolor,17.4,6.75,0.3879310344827587,0,0.6741573033707865,0.14285714285714285
5.7,2.6,3.5,1.0,versicolor,14.82,3.5,0.23616734143049933,0,0.5421686746987951,0.23913043478260873
5.5,2.4,3.8,1.1,versicolor,13.2,4.18,0.31666666666666665,0,0.620253164556962,0.1827956989247312
5.5,2.4,3.7,1.0,versicolor,13.2,3.7,0.28030303030303033,0,0.5949367088607594,0.1956521739130435
5.8,2.7,3.9,1.2,versicolor,15.66,4.68,0.29885057471264365,0,0.6,0.1958762886597938
6.0,2.7,5.1,1.6,versicolor,16.200000000000003,8.16,0.5037037037037037,0,0.7701149425287356,0.08108108108108111
5.4,3.0,4.5,1.5,versicolor,16.200000000000003,6.75,0.4166666666666666,0,0.7142857142857143,0.09090909090909094
6.0,3.4,4.5,1.6,versicolor,20.4,7.2,0.35294117647058826,1,0.648936170212766,0.14285714285714285
6.7,3.1,4.7,1.5,versicolor,20.77,7.050000000000001,0.33943187289359655,1,0.6326530612244897,0.17543859649122806
6.3,2.3,4.4,1.3,versicolor,14.489999999999998,5.720000000000001,0.39475500345065573,0,0.6627906976744187,0.1775700934579439
5.6,3.0,4.1,1.3,versicolor,16.799999999999997,5.33,0.3172619047619048,0,0.627906976744186,0.15463917525773196
5.5,2.5,4.0,1.3,versicolor,13.75,5.2,0.3781818181818182,0,0.6625,0.15789473684210525
5.5,2.6,4.4,1.2,versicolor,14.3,5.28,0.36923076923076925,0,0.6913580246913581,0.11111111111111108
6.1,3.0,4.6,1.4,versicolor,18.299999999999997,6.4399999999999995,0.351912568306011,0,0.6593406593406593,0.14018691588785048
5.8,2.6,4.0,1.2,versicolor,15.08,4.8,0.3183023872679045,0,0.6190476190476191,0.18367346938775508
5.0,2.3,3.3,1.0,versicolor,11.5,3.3,0.28695652173913044,0,0.589041095890411,0.20481927710843373
5.6,2.7,4.2,1.3,versicolor,15.12,5.460000000000001,0.36111111111111116,0,0.6626506024096385,0.1428571428571428
5.7,3.0,4.2,1.2,versicolor,17.1,5.04,0.29473684210526313,0,0.6206896551724139,0.15151515151515152
5.7,2.9,4.2,1.3,versicolor,16.53,5.460000000000001,0.33030852994555354,0,0.6395348837209303,0.15151515151515152
6.2,2.9,4.3,1.3,versicolor,17.98,5.59,0.31090100111234703,0,0.6153846153846154,0.18095238095238098
5.1,2.5,3.0,1.1,versicolor,12.75,3.3000000000000003,0.25882352941176473,0,0.5394736842105263,0.25925925925925924
5.7,2.8,4.1,1.3,versicolor,15.959999999999999,5.33,0.33395989974937346,0,0.6352941176470588,0.16326530612244902
6.3,3.3,6.0,2.5,virginica,20.79,15.0,0.7215007215007215,1,0.8854166666666667,0.024390243902439008
5.8,2.7,5.1,1.9,virginica,15.66,9.69,0.6187739463601533,0,0.8235294117647058,0.06422018348623856
7.1,3.0,5.9,2.1,virginica,21.299999999999997,12.39,0.5816901408450705,0,0.7920792079207921,0.09230769230769226
6.3,2.9,5.6,1.8,virginica,18.27,10.08,0.5517241379310345,0,0.8043478260869565,0.058823529411764726
6.5,3.0,5.8,2.2,virginica,19.5,12.76,0.6543589743589744,0,0.8421052631578947,0.05691056910569107
7.6,3.0,6.6,2.1,virginica,22.799999999999997,13.86,0.6078947368421053,0,0.820754716981132,0.07042253521126761
4.9,2.5,4.5,1.7,virginica,12.25,7.6499999999999995,0.6244897959183673,0,0.8378378378378378,0.042553191489361736
7.3,2.9,6.3,1.8,virginica,21.169999999999998,11.34,0.5356636750118092,0,0.7941176470588236,0.07352941176470588
6.7,2.5,5.8,1.8,virginica,16.75,10.44,0.6232835820895523,0,0.8260869565217391,0.07200000000000002
7.2,3.6,6.1,2.5,virginica,25.92,15.25,0.5883487654320987,1,0.7962962962962962,0.08270676691729327
6.5,3.2,5.1,2.0,virginica,20.8,10.2,0.4903846153846153,1,0.731958762886598,0.12068965517241383
6.4,2.7,5.3,1.9,virginica,17.28,10.069999999999999,0.5827546296296295,0,0.7912087912087911,0.09401709401709407
6.8,3.0,5.5,2.1,virginica,20.4,11.55,0.5661764705882354,0,0.7755102040816325,0.10569105691056908
5.7,2.5,5.0,2.0,virginica,14.25,10.0,0.7017543859649122,0,0.853658536585366,0.06542056074766357
5.8,2.8,5.1,2.4,virginica,16.24,12.239999999999998,0.7536945812807881,0,0.872093023255814,0.06422018348623856
6.4,3.2,5.3,2.3,virginica,20.480000000000004,12.19,0.5952148437499999,1,0.7916666666666665,0.09401709401709407
6.5,3.0,5.5,1.8,virginica,19.5,9.9,0.5076923076923077,0,0.7684210526315789,0.08333333333333333
7.7,3.8,6.7,2.2,virginica,29.259999999999998,14.740000000000002,0.5037593984962407,1,0.773913043478261,0.06944444444444445
7.7,2.6,6.9,2.3,virginica,20.02,15.87,0.7927072927072927,0,0.8932038834951455,0.05479452054794519
6.0,2.2,5.0,1.5,virginica,13.200000000000001,7.5,0.5681818181818181,0,0.7926829268292683,0.09090909090909091
6.9,3.2,5.7,2.3,virginica,22.080000000000002,13.11,0.5937499999999999,1,0.792079207920792,0.09523809523809525
5.6,2.8,4.9,2.0,virginica,15.679999999999998,9.8,0.6250000000000001,0,0.8214285714285716,0.0666666666666666
7.7,2.8,6.7,2.0,virginica,21.56,13.4,0.6215213358070502,0,0.8285714285714285,0.06944444444444445
6.3,2.7,4.9,1.8,virginica,17.01,8.82,0.5185185185185185,0,0.7444444444444445,0.12499999999999996
6.7,3.3,5.7,2.1,virginica,22.11,11.97,0.5413839891451833,1,0.78,0.08064516129032258
7.2,3.2,6.0,1.8,virginica,23.040000000000003,10.8,0.46875,1,0.75,0.09090909090909093
6.2,2.8,4.8,1.8,virginica,17.36,8.64,0.4976958525345623,0,0.7333333333333333,0.12727272727272732
6.1,3.0,4.9,1.8,virginica,18.299999999999997,8.82,0.4819672131147542,0,0.7362637362637363,0.10909090909090903
6.4,2.8,5.6,2.1,virginica,17.919999999999998,11.76,0.6562500000000001,0,0.8369565217391304,0.06666666666666672
7.2,3.0,5.8,1.6,virginica,21.6,9.28,0.4296296296296296,0,0.7254901960784315,0.10769230769230773
7.4,2.8,6.1,1.9,virginica,20.72,11.589999999999998,0.5593629343629343,0,0.7843137254901962,0.09629629629629635
7.9,3.8,6.4,2.0,virginica,30.02,12.8,0.42638241172551633,1,0.7179487179487181,0.1048951048951049
6.4,2.8,5.6,2.2,virginica,17.919999999999998,12.32,0.6875000000000001,0,0.8478260869565218,0.06666666666666672
6.3,2.8,5.1,1.5,virginica,17.639999999999997,7.6499999999999995,0.43367346938775514,0,0.7252747252747253,0.10526315789473686
6.1,2.6,5.6,1.4,virginica,15.86,7.839999999999999,0.49432534678436313,0,0.8045977011494253,0.042735042735042736
7.7,3.0,6.1,2.3,virginica,23.1,14.029999999999998,0.6073593073593072,0,0.7850467289719625,0.11594202898550728
6.3,3.4,5.6,2.4,virginica,21.419999999999998,13.44,0.6274509803921569,1,0.8247422680412372,0.058823529411764726
6.4,3.1,5.5,1.8,virginica,19.840000000000003,9.9,0.4989919354838709,1,0.7684210526315789,0.07563025210084036
6.0,3.0,4.8,1.8,virginica,18.0,8.64,0.48000000000000004,0,0.7333333333333333,0.11111111111111112
6.9,3.1,5.4,2.1,virginica,21.39,11.340000000000002,0.5301542776998598,1,0.75,0.12195121951219512
6.7,3.1,5.6,2.4,virginica,20.77,13.44,0.6470871449205585,1,0.8163265306122448,0.08943089430894313
6.9,3.1,5.1,2.3,virginica,21.39,11.729999999999999,0.5483870967741935,1,0.74,0.15000000000000005
6.8,3.2,5.9,2.3,virginica,21.76,13.57,0.6236213235294117,1,0.82,0.07086614173228342
6.7,3.3,5.7,2.5,virginica,22.11,14.25,0.644504748982361,1,0.82,0.08064516129032258
6.7,3.0,5.2,2.3,virginica,20.1,11.959999999999999,0.5950248756218904,0,0.7731958762886598,0.12605042016806722
6.3,2.5,5.0,1.9,virginica,15.75,9.5,0.6031746031746031,0,0.7840909090909091,0.11504424778761059
6.5,3.0,5.2,2.0,virginica,19.5,10.4,0.5333333333333333,0,0.7578947368421053,0.1111111111111111
6.2,3.4,5.4,2.3,virginica,21.08,12.42,0.5891840607210627,1,0.8020833333333334,0.06896551724137928
5.9,3.0,5.1,1.8,virginica,17.700000000000003,9.18,0.5186440677966101,0,0.7752808988764044,0.0727272727272728
